woman with blue flowers and pink skirt	fourth woman on right
bottom center orange	orange in front
The toast with cheese and jam	The bread to the left of the apple
The woman in a white shirt	The woman holding a blue bag
The woman in a shirt with text	The printed shirt
The second person on the right	The person holding watermelon 
The man wearing a blue t shirt and black pants	Blue t shirt
The blue cloth with a square pattern	The cloth below the spool of thread
The person in a pink helmet	The person at the back of the motorcycle
The larger carrot above the handle of the knife	The second carrot from the right
The woman cutting the cake	The person with long hair
The person on the right	The person with pink eye shadow
The banana second row, second from the right	the object second row, second from the right
The person on the right	The person smiling
The person in a black shirt under the kite	the person in a black shirt
The brown pants	The legs in dark brown
The blurry man in a bright vest	the man in a bright vest
The third box from the top	The box with a sticker
The largest zebra	The close zebra
the donut on the farthest top right	The crumpled food the farthest top right
the front toliet	the front toilet
the front broccoli	the front broccoli
man with dark tshirt in the back	man with a blue shirt in the background
black moto on the right	the black motocycle on the right side
woman with blonde hair in the middle	woman in the middle position
banana on the second right	the second banana from the left side
the sofa on the left	the blue coach on the left
cat with dark hair	cat with brown hair
the black cellphone	the cellphone in the front
the kid with a black and purple swimming suit	the kid with a black swimming suit
woman in the back	woman in the middle
the bear with a fish	the bear catching a fish
the plant with a green bowl	the second plant from the left side 
the toy cat in the back 	the fake cat in the back
the project monitor	the projector screen
the motocycle on the left	motocycle on the left
girl in the back	girl with blonde hair
the motocycle on the left	motocycle on the left side
person on the left edge of image	person in red facing away from camera
cow that is the darkest brown	cow that is the darkest color
rightmost doughnut in the middle row	bottom right donut with no hole
pastry partially seen on left edge	pastry on the left edge of imae
woman with hat and purse walking away from camera	woman without umbrella with black hat and blue purse
elephant on the right	animal on the right side of image
man with camera dark shirt and white pants	man with dark shirt and tan pants
giraffe to the left of the pole	giraffe on the left side
car in bottom left of image	car with legacy written on it
bear at bottom of image	bear with no clothes
sheep on the right	rightmost sheep
couch on the left	couch in the bottom left
woman on the left	woman with necklace
food container on the left	food tin on left
zebra on right	animal on the right
person on the right with blue clothes	person with blue and green clothes
person in the middle	person with express shirt
bench closest to the camera	bench at bottom edge of image
the person being feed soup	the feeding 
the plane center right	the plane leading the procession
the elephant in sunlight	the elephant on the left
the person third from the left	the person directly below the E14 sign
the wine glass	the glass
the tomato sandwhich in the back left	the red filled sandwich in the back left 
the bottle with half the label in light	the bottle with half the label in shadow
the catcher	the kneeling player
the elephant on the right	the elephant with the trunk missing
the first all white bear on the left	the bear with a green bow
the person in a pink jacket	the person in blue pants and pink jacket
the women in grey dress	the women with a necklace
the person on the right	the person in black short sleeves
the back on the laptop without letters	the second laptop from the left
the first yellow umbrella	the first yellow umbrella from the left
the women on back	the first person on the left
the smaller screen	the tv on a cart
the forwards keyboard	the keyboard with hands on it
cheese bowl left bottom	bottom left bowl
red book middle right	red book in the center
black man wearing a suit	black man
woman in bottom right	woman eating food
orange slice in the front bottom	tangerine slice front bottom
blonde woman brown shoes	woman with blond hair and brown shoes
leftmost chef	chef left
person in the left of image	person in ski gear on the left
girl in the center and bottom	girl at the bottom center of image
blurred bananas in the back 	blurry bananas top center of image
black woman in the middle	second person from right
person in suit with yellow tie and black glasses	white man with yellow tie and black glasses
Barrack Obama	President on the right
beer bottle second from right	bottle second right
condiment right side of center	condiment in a bowl right side
toddler's table bottom right	baby table bottom right
the table at the front	front table
old man in blue on the left	man in blue shirt on the left
Right most fully visible man	Right most man looking at the couple
Bottom left standing black bag 	Bottom left black bag
Left most pink tie	left most pink 
middle left banana top	middle left banana
Right most man next to lady	Right most man
Lady taking photo with hairdresser	lady taking photo
Middle van	Van behind the first van
Laptop with black screen	Laptop in the middle
Light pink umbrella with black circle	Light pink umbrella in the centre
bottom left black goat	bottom black goat
glass next to italian sandwich	glass next to red sauce
fourth bike from top left	second black bike from the right 
plants in green basket behind roses	plants in green basket 
girl in spectacles and black sweater 	girl in black and grey sweater in front on man
right most man 	right plan in dark blue 
left woman in choker	left woman next to guy in white
chair under red bowl of table 	left chair under table
bottom right most policeman	bottom right policeman
hot dog held by human hands	hot dog that is further away from the camara
a bold man holding his phone and talking to a lady 	man without any hair
a man playing snowboard in red helmet	a man in red helmet
donut in the left bottom corner	donut closest to the camera on the left
legs of the elephant on the right	elephant on the right
the girl with blonde hair on the left	the girl with pink pants on the left
a woman wearing blue cropped tank top and blue jeans near the cabbage	a woman wearing blue top and blue jeans
the bottle with white gel	the bottle on the right
the car after the black car	the car closest to the camara
a man with hat eating fruit	a man sitting on a stone chair eating fruits
a man with short light-color hair on the right in a black jacket	a man in a black jacket with short hair
the legs of the person in the back with pink shoe laces	the legs with pink shoe laces
the elephant on the left	the smaller elephant 
the zebra on the right	the zebra having only his head in the picture
the boy who's holding a comb	the boy who's raising his hand up
a muffin in the back in the middle	a cake in the middle of the top row 
the container on the left on wheels	the box on wheels
the motorcycle on the right rided by a man in yellow shirt	the motorcycle the rightmost
the orange on the left of the banana	the orange next to the banana
the glass bottle with lemon slice	glass bottle with an orange straw
the car on the right	the car covered by snow on the right hand side
the elephant on the left	the elephant on the left hand side
the bird in the front	the bird in the front of the nest
the staples truck	the truck with staples' ads
the men behind	the man behind
the cow sitting on the left	the cow on the left hand side
the red motorcycle	the red and white honda motorcycle in the front
the bridegroom	bridegroom
the pink body	the body in pink
the left fifth sausage counting from the front	the fifth sausage on the left counting from the front 
the women in orange tank top	the women wearing orange tanktop
the black sheep on the left of the white sheep	the black sheep on the left
the plant in green container on the left	the plant in green bowl on the left hand side
the chocolate donut on the right	the chocolate donut on the right hand side
the green case in the front	the green case in the front row, next to the black case
the girl in the orange top with a skate board which has ELEMENT written on it	The girl with the orange skate board
The wodden chair touching the peacock's tail	The wodden chair next to the peacock
The lady sunglasses on her head and wine glass and chip in her hand	The lady to the right of the man in the middle
the cake in the right lower corner of the photo	The first cake on the right side of the picture
the lady in the orange skirt 	The lady in the orange lower with black hair
the girl with a ponytail	the girl in the white lower and black tshirt
The man with the yellow frisbe	The bald man
The man in the grey tshirt and blue jeans	The man in the grey yshirt next to the kid with number 200999 on his tshirt
the giraffe who has his head lower	the giraffe at the back of the picture
the women under the umbrella	the women in black jacket with the umbrella
the toy cat behind the real cat	the second cat on the chair
the man in the black vest abd grey tie in the front 	the man in the sky blur shirt and black vest
first horse from the right side of the picture	the horse from the right
The third elephant from the left	thrif elephant from the left
third bottle fron the right 	third bottle from the right
The truck which has STAPLES written on it	the red truck
the bowl in the left side of the picture	the bowl with pasta in it
the women in black tshirt sitting down	the women in black tshirt
middle right lunchbox	right middle box
front bowl	bottom bowl
woman	left person
right people 	people on the right
right bottom donut	donut on the bottom
right bus	bus on the right
2 left people	teo people on the left
cell phone	cellpone
person on the left	left person with book 
pink ribon	right ribon
traffic man	man in oragne and yellow
2 left players	2 players with full body
right person	person on the right
right female	female on the right
left man	man on the left
car on the left	left car
left person	adult
man in tie	man with toe
flat bed truck	tow truck
bowl with green and orange salad on the left	bowl with salad on the left
gold circle above the door	gold circle in center of picture
woman with pink headband	woman in black shirt
sheep on the right	white animal on the right
front sandwich	front piece of bread
glass with dark red liquid	second glass from the right in the front 
fedex truck	back of semi truck on the left
pizza in the back	pizza at top of picture
top left bowl	top left container
sofa on the right	couch on right
second chair from right	seat in the back right
front keyboard	keyboard at bottom of picture
standing person on the left	person on the left standing
bowl with red food on the right	 white bowl on the right
adult zebra	zebra on right
woman in black shirt on left	woman on the left
second chair from the left	green chair on the right
the man on the right	the man with coke
the yellow bowl in the center	yellow bow with three red dots
man with mustache	man with brown belt and mustache
woman on the left	woman with dark dress
woman with jeans	woman with blue shirt
bus with blue shirt man	bus in the center
donut with sprinkles	the second donut
the nose in the center	the second nose
the bowl on the upper left 	bowl with watermelon and orange
the second left cow	the forth right cow
green shirt boy on the right	the boy on the right with monitor control
donut on the bottom left	cinnamon roll
the bowl with oranges	the white bowl
purple shirt man with sunglasses	the man with red and blue pants
the man on the left	the man with silver belt
the red car in the center	the red car in the bottom
giraffee in the bottom	the behind giraff 
black suitcase behind 20 euro	the large suitcase behind two small suitcases
woman in jeans with pink face covering	woman on back of motorcycle
man skiing in black clothes	man skiing
round yellow flowers	yellow flowers
back of black car	black car spoiler
tomato sandwich	sandwich slice with tomato
rear pigeon	pigeon behind other pigeon
woman standing left	standing woman
woman sitting on floor	woman eating on floor
man in blue sweater with bib	man in blue sweater
umbrella on bottom left	umbrella image edge
orange slice on left	left orange slice
bottom knife	knife on bottom of image
man on left	man holding book
woman in pink shirt	woman sitting
elephant leg	elephant rear leg
bottom right white bear	bear bottom right
rear traffic signal	traffic light back
blue vase	blue vase yellow flower
small giraffe	baby giraffe
motorcycle	bike
left pizza slice	pizza slive
happy birthday	cut strawberries
clock on right	clock 18:19
toast left	toast with syrup
baseball catcher	softball catcher
knife lady with back	upset lady
firefighter	boy
alicante boat man on bench	man
umbrella	umbrellas on right
sideways red bear	red bear middle
orange shirt	orange man
pink pants lady	pink pants
blue shirt lady	blue shirt lady
brown bear	small brown bear
blue chair right	cupcakes right
hotdog left	meat stick left
man behind the giraffe 	man wearing shorts
third glass of wine	wine glass
dog with a frisbee in his mouth	dog on the right
surfboard on the right	surf board on the right
man on the right	man pushing the luggage
man on the left	soldier on the left
man with folded hands	man on the left in black 
elephant facing the back	elephant facing the other side
child with sunglasses	boy wearing sunglasses
wooden plank on the bottom	wooden plank on the bottom
woman on the right	woman in glasses
spoon on the right	white spoon on the right
cupcakes on the top right	cupcakes on the right
man with a hand on his face	man
animal with a white tail	animal with white hair
man on the right	baseball player on the right
woman on the left	player on the left
woman on the left	person on the left
man wearing red shirt and light blue jeans 	chubby man sitting on couch and wearing red shirt with white sleeves and light blue jeans
baby stroller on the left with blue shade and yellow lining	baby stroller on the left side of the image that has one wheel and a blue back and yellow roof
colorful sprinkled donut on the left and above the namecard	colorful sprinkle donut on the left above chocolate iced with sprinkles 
man wearing brown pants	man wearing brown pants and black sweatshirt 
white ancient computer 	white ancient computer with black screen
elephant head and trunk lifted above in the middle of the image	elephant head and trunk grabbing food from person wearing green shirt 
man wearing glasses and white shirt and pant and second from the left	man wearing spectacles and a white shirt and pant 
two people with striped clothes and the number 4 	two people with striped clothes to the left and one of them has 4 on the shirt 
bowl of yogurt with blueberries to the left of the image	round bowl of yogurt with blueberries above the white plate and to the left of the image
donut in the first row and first column	donut in the topmost row and the leftmost column
pure white circle bowl beside bowl with blue leaf print	white circular bowl with peach food to the left of white bowl with leaf design 
elephant butt on bottom left with round tail 	dark gray elephant butt with circular tail on the left of image
red pot of petunias and pink and white striped petunias in it	pink and white striped petunias in a red pot
white bike between red truck and white bike	white bike in front of red truck and behind similar white bike
woman wearing red sweater	woman wearing red sweater and holding stuffed brown reindeer
green horse cookie	green horse shaped cookie with pink mane behind blue horse shaped cookie
piece of banana touching glass bowl and above the jam	semicircular piece of banana above jam and touching the bowl
yellow donut with black sprinkles	yellow donut with black sprinkles on the bottom of the image
Left most set of human legs in black jeans and pink shoes	Leftmost person's legs in black pants
Second to right red folding chair	Red chair
Second to left person in glasses	Person in glasses
Rightmost child wearing a white coat	Rightmost person wearing a white coat
Foreground person wearing a blue shirt	Foreground person in blue shirt
Fourth to the right white book	White book fourth from the right side
Right side person wearing a blue hat	Right side person in a blue hat
Rightmost umbrella	Rightmost open umbrella
Person in the middle	Person second from the right
Middle bed	Bed in the middle
Foreground woman in a blue shirt	Woman in a blue shirt
Elephant second from the right facing away	Elephant second from the right
Leftmost cow	Cow on the left
Topmost orange	Orange furthest left 
Person furthest right	Rightmost person
Person furthest left	Leftmost person
Rightmost person	Rightmost person
Topmost cellphone	Rightmost cellphone
person, far right	person far right
child, far left	child far left
person background right	person in far back on the right
person right	person on the right
bowl on top of bowl	bowl in the front
person left	person on the far left
person in the background crouching	person crouching
glass of orange liquid left	leftmost glass of orange liquid
leftmost tup of orange liquid	leftmost container
green apple, center front	green apple in the front center
person, rightmost	person furthest to the right
animal, left	animal on the left
container top left	container, top left
glass in background, right	glass on the right
person 2nd from front	person 2nd from front
person, foreground	person, frontmost
food, background left	sandwich slice, back left
red suitcase, bottom	red suitcase on bottom
slice of banana in center of the image	slice of banana in a spoon in the center of the image
mostly full glass of orange juice second from the left	right-most glass of orange juice behind the pizza
righthand umbrella	umbrella in the person's right hand
right most motorcycle	black and silver motor cycle in the center right of the image
back of sheep's head in the front right of the image	sheep facing away from the camera in the bottom right of the image
bottom most white bear on right of the image	bottomr white bear in the image
man with mustache and wearing a suit slightly right of center in the image	smiling man wearing a suit in front of the truck to the right of the center
giraffe facing to the right behind a pole	giraffe head and neck in the center of the image
person wearing green shirt in the right of the image	rightmost person sitting on the bench wearing a green shirt
person in the pink clothing with black hair in the right side of the image	rightmost person with pink clothing and black hair
frontmost keyboard	keyboard in front of the grey mouse
person about to toss a frisbee with the number 4 on their back 	leftmost person holding frisbee wearing black
leftmost person in the image with black shirt	leftmost person standing up
person wearing white shirt and baseball cap in the right side of the image	rightmost person in the foreground of the image
person in the center of the image behind the skateboard	person bent over in the center of the image wearing mostly black
bowl of shredded cheese in the bottom left of the image	white bowl of white food in the lower left corner of the image
rightmost person in the foreground with 51	rightmost person in the image with a shirt that has 51 on it
frontmost plane that says Air Canada express	plane most in the foreground that says air canada express
top right bag	bag on drawer
sideways cup	overturned mug
jumping player	jumping man
brown horse heads	chestnut horse
left red shirt woman	left woman
red kid	red child
purple book	purple bible
flower vase	flower glass
woman right	right scarf
background beige tshirt man	beige tshirt man sitting on bed
top right donut	chocolate donut top right
man	full body man
man catching ball	player catching softball
woman in black jacket red pants brown boots	woman black jacket red pants
top right quarter of pizza	top right slice of pizza
bottom wood fence	bottom wooden fence
bottom left bed	bottom left bed
sliding woman center	skier center sliding
